"39","Pithoragarh","Pithoragarh is a beautiful town in Uttarakhand that is known for its scenic beauty and ancient temples.","Pantnagar Airport","All Weather","0.01","3D/4N","6.00","Hindi, Kumaoni, English","1645.000","0.000","4.80","pexels-photo-12990547.jpeg"
"40","Almora","Almora is a charming hill station in Uttarakhand that is known for its natural beauty and ancient temples.","Pantnagar Airport","Fall","0.01","2D/1N","15.00","English, Hindi, Kumaoni","1651.000","0.000","4.70","pexels-photo-12532343.jpeg"
"41","Ranikhet","Ranikhet is a quiet hill station in Uttarakhand that is known for its natural beauty and historic temples.","Pantnagar Airport","Winter","0.01","2D/1N","12.00","Hindi, Kumaoni, English","1869.000","0.000","4.60","pexels-photo-16128127.jpeg"
"42","Pangot","Pangot is a beautiful hill station in Uttarakhand that is known for its bird watching and trekking trails.","Pantnagar Airport","All Weather","0.01","1D/1N","5.00","Hindi, Kumaoni, English","2075.000","8.000","4.60","pexels-photo-16128124.jpeg"
"43","Lansdowne","Lansdowne is a peaceful hill station in Uttarakhand that is known for its British-era buildings and trekking trails.","Dehradun Airport","All Weather","0.01","2D/1N","5.00","Hindi, Garhwali, Kumaon, English","1706.000","0.000","4.80","pexels-photo-7846656.jpeg"
"44","Kedartal","Kedartal is a stunning lake in Uttarakhand that is known for its crystal clear water and trekking trail. It offers breathtaking views of the Himalayas and is located in the Kedarnath Wildlife Sanctuary","Dehradun Airport","Fall","0.01","2D/1N","7.50","Hindi, Kumaoni, English","2084.000","0.000","4.60","pexels-photo-16128131.jpeg"
"45","Kanatal","Kanatal is a beautiful hill station in Uttarakhand that is known for its apple orchards, oak forests, and panoramic views of the Himalayas. It is a popular destination for adventure tourism and weekend getaways.","Dehradun Airport","Winter","0.01","2D/1N","5.00","Hindi, Garhwali, English","2590.000","0.000","4.60","pexels-photo-14064751.jpeg"
"46","Chaukori","Chaukori is a scenic hill station in Uttarakhand that is known for its stunning views of the Himalayas and tea gardens. It is a popular destination for honeymooners and nature lovers.","Pantnagar Airport","All Weather","0.01","3D/2N","10.50","Hindi, Kumaoni, English","2010.000","0.000","4.50","pexels-photo-981091.jpeg"
"47","Khirsu","Khirsu is a hidden gem in Uttarakhand that is known for its tranquil surroundings, apple orchards, and stunning views of the Himalayas","Dehradun Airport","Fall","15.00","2D/1N","8.00","Hindi, Garhwali, English&#39;","1700.000","0.000","4.50","pexels-photo-4913435.jpeg"
"48","Rudranath","Rudranath is a Hindu temple dedicated to God Shiva, located in the Garhwal Himalayan mountains in Uttarakhand, India.","Dehradun Airport","Fall","0.01","4D/5N","20.00","English, Hindi, Garhwali","3600.000","22.000","5.00","pexels-photo-11305767.jpeg"
"49","Deoria Tal","Deoria Tal is a high-altitude lake in Uttarakhand that is known for its serene environment, reflection of the Chaukhamba peaks, and trekking opportunities. It is a popular destination for nature lovers, adventure enthusiasts, and birdwatchers.","Dehradun Airport","Spring","0.01","2D/1N","6.50","Hindi, Garhwali, English","2438.000","4.800","4.70","pexels-photo-914128.jpeg"
"50","Kartik Swami Temple","Kartik Swami Temple is a sacred temple in Uttarakhand that is known for its scenic beauty and panoramic views of the Himalayas. It is a popular destination for spiritual tourism, trekking, and nature walks.","Dehradun Airport","Winter","0.01","1D/1N","8.00","Hindi, Garhwali, English","3050.000","3.500","5.00","pexels-photo-10432964.jpeg"
"51","Dhanaulti","Dhanaulti is a quiet hill station at an elevation of 2286 meters above sea level, it offers panoramic views of the lofty Himalayas.","Dehradun Airport","winter","0.10","2D/1N","4.00","English/Hindi/Garhwali","2286.000","0.000","4.10","pexels-photo-7846476.jpeg"
"53","kotdwar","Kotdwara (Kotdwar) is located at the foothills of the Shivaliks at a distance of 101 kms from Pauri. It is the entrance to hills in Pauri region of Uttarakhand, and literally means &#39;Gateway to Garhwal&#39;.","Dehradun Airport","All Weather","1.10","1D/1N","4.00","English/Hindi/Garhwali/Kumoani","454.000","0.000","4.10","pexels-photo-257092.webp"
